page_number,text_preview,full_text_length,char_count,word_count,line_count,content_tier,content_type,pandas_score,code_score,structural_score,quiz_potential,quiz_multiple_choice,quiz_code_completion,quiz_true_false,quiz_fill_blank,quiz_scenario,navigation_score
76,"# Selecting data using .loc Example 1: Selecting a Single Row by Label print(""Selecting a single row by label:\n"", df .loc[""B""]) In this example, .loc  is used to select a single row from the DataFram",436,436,75,9,tier_2_secondary,structural,6,3,5,3,0,3,0,0,1,1.0
77,"Example 2: Selecting Multiple Rows by Label print(""\nSelecting multiple rows by label:\n"", df.loc[[""A"", ""C""]]) In this case, .loc  is used to select multiple rows at once by providing a list of labels",612,611,96,12,tier_2_secondary,structural,4,5,5,4,0,3,0,0,1,0.0
78,"In this example, .loc  is used not only to select speciﬁc rows (in this case, rows with labels ""A""  and ""C"" ) but also to ﬁlter speciﬁc columns ( [""Name"", ""City""] ). The result shows only the ""Name"" a",971,971,164,19,tier_1_primary,structural,8,0,4,4,0,3,1,0,1,1.0
79,".iloc  : Integer-Based Indexing The .iloc  method in Pandas oﬀers a straightforward, position-based approach to selecting data, relying on integer indexing to access rows and columns. This method is e",684,683,107,13,tier_1_primary,navigation,9,0,4,3,0,0,0,1,1,3.0
80,"# Selecting data using .iloc Example 1: Selecting a Single Row by Position print(""Selecting a single row by position:\n"", df.iloc[1])  In this example, the .iloc  method is used to select a single row",963,963,156,18,tier_1_primary,conceptual,15,5,8,5,0,3,0,1,1,2.0
81,"Example 2: Selecting Multiple Rows by Position   In this example, the .iloc  method is used to select multiple rows by specifying their integer positions within the DataFrame. Here, a list of position",694,694,113,13,tier_1_primary,structural,7,0,7,4,0,3,0,1,1,0.0
82,"datasets, making it easy to work with subsets of data based purely on integer indexing. Example 3: Selecting Rows and Speciﬁc Columns by Position print(""\nSelecting rows and speciﬁc columns by positio",712,712,116,14,tier_1_primary,conceptual,10,3,6,4,0,3,1,1,1,1.0
83,"enables you to pinpoint precise slices of data by combining row and column positions. This method is especially valuable for situations where you want to isolate speciﬁc sections of your data, providi",748,748,123,15,tier_1_primary,conceptual,9,0,5,2,0,0,0,1,1,1.0
84,"precise access to rows and columns in cases where you know the exact numerical positions. Mastering .iloc  allows for highly targeted data selection, making data analysis in Pandas both precise and eﬃ",1401,1401,215,25,tier_1_primary,navigation,22,0,7,4,0,3,1,1,1,4.0
85,"Boolean Indexing in P andas Boolean indexing is one of the most powerful and intuitive techniques for ﬁltering data in a DataF rame, enabling you to quickly isolate rows that meet speciﬁc conditions. ",887,887,147,16,tier_1_primary,navigation,6,0,6,0,0,0,0,1,1,4.0
86,"eﬃciently, all while keeping your code concise and readable. Example DataF rame Let’s consider a Data Frame containing information about machine learning courses, includ ing the",177,177,26,5,tier_4_context,general,0,0,3,1,0,0,0,0,1,0.0
87,"instructor's name, the language used, and the number of sessions: In this example, we create a simple DataF rame that contains information about machine learning courses. The data includes three colum",586,586,90,13,tier_3_reference,structural,0,0,5,1,0,0,0,0,1,0.0
88,"corresponding value is a list of values for that column. The dictionary is then converted into a DataF rame using pd.DataF rame(data)  . When we print the DataF rame, we can see the organized table st",924,924,153,19,tier_3_reference,structural,2,2,6,2,0,0,0,1,1,2.0
89,"condition   to create a mask and then apply it to the DataF rame. df[df['Sessions'] > 8]   In this example, we use Boolean indexing to ﬁlter rows in the Data Frame based on a numerical condition. Spec",1097,1097,189,16,tier_2_secondary,structural,4,0,7,4,0,0,1,0,1,2.0
90,"into data based on speciﬁc quantitative conditions, making it easy to focus on meaningful subsets of infor mation in lar ge datasets. Selecting Rows Where Language is P ython Boolean indexing isn’t li",729,729,119,15,tier_3_reference,structural,2,0,6,3,0,0,0,0,1,2.0
91,"the DataF rame. This mask checks each entry in the ""Language"" column, marking it as True  if it matches ""Python"" and False  if it doesn’t. For this DataFrame, the mask would be [True, False, True, Tru",1065,1065,182,21,tier_2_secondary,structural,3,0,7,5,0,3,1,1,1,1.0
92,"let’s say we want to ﬁnd instructors who teach Python and have mor e than 8 sessions. df[(df['Language'] == 'Python') & (df['Sessions'] > 8)] In this example, (df['Language'] == 'Python') & (df['Sessi",624,624,108,12,tier_3_reference,structural,1,0,6,2,0,3,1,0,1,0.0
93,"instructors who either teach Python or have more than 8 sessions. df[(df['Language'] == 'Python') | (df['Sessions'] > 8)]   Here, (df['Language'] == 'Python') | (df['Sessions']  > 8)  returns rows whe",358,355,58,9,tier_4_context,general,0,0,3,3,0,0,0,0,0,0.0
94,"In Pandas, you can combine multiple conditions to ﬁlter your data with more precision,  using two key operators: &  (AND) and |  (OR). These  symbols allow you to apply compl ex ﬁlters to your DataF r",656,656,113,20,tier_3_reference,structural,2,0,5,3,0,3,1,0,1,0.0
95,"rows that ﬁt all  speciﬁed criteria. |  (OR Operator) : This operator is used when you want to select rows that meet at least one of several conditions . For instance, df[(df['Language'] == 'Python') ",419,419,70,17,tier_3_reference,structural,0,0,4,2,0,0,0,0,0,0.0
96,Why Use &  and | ? AND ( & ) : Use this when you want to narrow down  your search. It ﬁlters the data more strictly since all conditions must be met. OR ( | ) : Use this when you want a broader search,460,460,87,17,tier_3_reference,structural,0,0,7,4,0,0,1,0,1,0.0
97,"Selecting Rows with isin() Sometimes, you might want to ﬁlter based on multiple values in a column. The isin()  method is helpful for this",138,138,24,3,tier_4_context,general,0,0,1,0,0,0,0,1,0,0.0
98,"purpose. For example, let’s say we want to ﬁnd instructors whose names ar e either ""Alice"" or ""Daisy ."" df[df['Instructor'].isin(['Alice', 'Daisy'])] df['Instructor'].isin(['Alice', 'Daisy'])    check",276,276,39,5,tier_4_context,general,0,0,2,1,0,3,0,0,0,0.0
99,"or ""Daisy"". This is particularly useful for categorical ﬁltering when you have a speciﬁc set of values you’r e inter ested in. Selecting Rows Based on a Condition in Multiple Columns Let’s say we want",632,632,105,12,tier_4_context,general,0,0,3,2,0,3,1,0,0,0.0
100,selected. This combined ﬁlter allows for precise selection based on criteria in multiple columns. Boolean indexing in Pandas is a powerful tool for ﬁltering data based on conditions: Simple Conditions,644,644,105,17,tier_3_reference,structural,2,0,5,0,0,0,0,0,1,2.0
101,"work with relevant subsets of data, streamlining your workﬂow and focusing on meaningful insights. Method SyntaxDescriptio nExampleOutpu t Select a Columndf[col_label]Selects a single column as a Seri",519,519,73,38,tier_2_secondary,structural,5,4,7,4,0,3,0,1,1,0.0
102,"Select by Integer Position ( iloc )df.iloc[r ow_int(s), col_int(s)]Selects data by row and column positions.df.iloc[1, 2]Return s value in the second row, third column Select by Row Integer & Column L",820,820,117,65,tier_1_primary,code_heavy,14,16,10,5,0,0,0,0,1,0.0
103,"Wrapping Up: Mastering Data Selection in Pandas In this chapter, we've explor ed the versatility and power of data selectio n in Pandas. Here’s a quick recap of each method along with a simple example",561,561,95,15,tier_3_reference,structural,2,2,7,6,0,0,0,1,1,0.0
104,"Example: df[0:2]  # Selects the ﬁrst two r ows 3. Select by Label (loc) Syntax  : df.loc[row_label(s), col_label(s)] Output : Returns an object for a single selection, a Series for one row/column, oth",564,564,94,14,tier_1_primary,code_heavy,13,11,8,7,0,3,0,0,1,0.0
105,"5. Select by Row Integer & Column Label Syntax  : df.loc[df.index[row_int], col_label] Output : Returns an object for a single selection, a Series for one row/column, otherwise a DataFrame. Example: d",644,644,103,15,tier_1_primary,code_heavy,9,12,7,8,0,3,0,0,1,1.0
106,"condition. Example: df[df['Age'] > 30]  # Selects r ows wher e ""Age"" is gr eater than 30 8. Select by Boolean Expression (query) Syntax  : df.query(""expression"") Output : Returns rows that match the e",686,686,114,16,tier_2_secondary,structural,3,4,7,4,0,3,0,1,1,0.0
107,"Chapter 6: Pandas Data T ypes And Conversions In the realms of data science and artiﬁcial intelligence, understanding and managing data types is not just a foundational skill—it’s essential for produc",1280,1280,206,25,tier_3_reference,structural,0,0,7,6,0,0,0,0,1,1.0
108,".astype() , and strategies to optimize memory usage by selecting the most appropriate types for your dataset. We’ll also explore techniques for handling mixed data types, special types like datetime  ",1447,1447,224,36,tier_3_reference,structural,2,0,9,1,0,3,1,0,1,1.0
109,"ﬂoat (Floating- Point)Numerical values with decimal points.Continuous data, measur ements, ﬁnancial data.3.14, -0.001, 100.0Ideal for calculations requiring precision with decimals. bool (Boolean)Repr",1256,1256,161,75,tier_3_reference,structural,1,0,18,0,0,3,1,0,1,0.0
110,"Essential for continuous data, such as measur ements, ﬁnancial data, or scientiﬁc data wher e precision is necessary . Allows for mathematical operations on decimal data, making it ideal for statistic",1342,1342,233,34,tier_3_reference,structural,0,0,12,0,0,3,1,0,1,0.0
111,"datetime : Designed to handle date and time infor mation. Essential for time-series analysis and any dataset involving temporal data, such as timestamps, event dates, or transaction times. Supports fu",806,806,120,18,tier_3_reference,structural,2,0,6,1,0,0,1,0,1,1.0
112,Let’s create a DataF rame to see some of these data types in action: # Sample DataF rame with various data types The line dtype: object  at the bottom indicates that the overall data type of the DataF,585,585,101,11,tier_2_secondary,structural,4,1,4,1,0,0,0,0,1,0.0
113,Using astype()   to Change Data T ypes The .astype()  method in Pandas allows you to change the data type of one or more columns. This is helpful if you need to convert a column to a speciﬁc type for ,625,624,100,14,tier_3_reference,structural,0,3,4,0,0,0,0,1,1,0.0
114,"This code snippet demonstrates how to convert speciﬁc data types in a pandas DataFrame using the astype()  function. First, it converts the 'Age' column to a ﬂoat data type, allowing for decimal value",1033,1033,166,19,tier_3_reference,structural,2,0,6,3,0,3,0,0,1,0.0
115,"Converting Object to Numeric with Error Handling If you have numeric data stored as strings (e.g., “1000” as a string), you can convert it to a numeric type using .astype()  or pd.to_numeric ()  with ",458,458,67,11,tier_2_secondary,code_heavy,0,7,2,0,0,0,0,0,1,0.0
116,"print(""\nDataF rame with Numeric Conversion and NaN Handling:\n"", df_mixed) print(""\nData T ypes:\n"", df_mixed.dtypes) This code example demonstrates how to handle a column with mixed data types in a ",1077,1077,155,21,tier_2_secondary,structural,3,5,8,4,0,3,0,1,1,0.0
